,E1,E2,C1,C2,A1,A2,A3,OR
011302,83.6066,84.3091,85.7143,83.6066,86.6511,86.6511,86.8852,83.3724
011303,82.904,85.4801,85.4801,83.6066,87.1194,87.1194,87.1194,83.3724
011305,83.3724,84.5433,85.2459,83.6066,86.6511,86.6511,86.6511,83.3724
011306,84.0749,85.9485,87.3536,83.6066,88.7588,88.7588,89.2272,83.3724
011307,82.904,86.1827,85.9485,83.6066,87.822,87.822,87.822,83.3724
011308,84.0749,85.0117,85.9485,83.6066,87.822,87.822,88.0562,83.3724
011309,82.904,85.2459,85.7143,83.6066,86.8852,86.8852,87.1194,83.3724
011311,83.8407,85.0117,85.9485,83.6066,87.5878,87.5878,87.822,83.3724
011312,83.6066,85.0117,85.4801,83.6066,87.3536,87.3536,87.822,83.3724
021301,84.3091,81.733,84.7775,81.2646,86.6511,86.6511,86.8852,80.7963
021303,83.6066,82.2014,84.3091,81.2646,86.4169,86.4169,86.6511,80.7963
021305,84.5433,82.2014,86.1827,81.2646,87.3536,87.3536,87.5878,80.7963
021306,84.5433,83.1382,85.9485,81.2646,88.2904,88.2904,88.0562,80.7963
021307,84.5433,82.904,85.7143,81.2646,88.0562,88.0562,87.822,80.7963
021308,85.0117,81.733,85.0117,81.2646,87.3536,87.3536,87.822,80.7963
021309,84.7775,82.904,85.9485,81.2646,88.2904,88.2904,88.2904,80.7963
021311,84.5433,82.4356,85.4801,81.2646,87.5878,87.5878,87.5878,80.7963
021312,85.9485,82.4356,86.6511,81.2646,88.993,88.993,89.2272,80.7963
031301,84.7775,83.8407,86.1827,82.2014,87.1194,87.1194,87.1194,81.733
031302,84.7775,83.1382,85.7143,82.2014,86.4169,86.4169,86.6511,81.733
031305,84.3091,83.6066,85.4801,82.2014,86.4169,86.4169,86.4169,81.733
031306,83.8407,84.3091,85.7143,82.2014,86.6511,86.6511,86.6511,81.733
031307,85.4801,84.3091,86.4169,82.2014,88.2904,88.2904,88.2904,81.733
031308,83.8407,83.6066,84.7775,82.2014,85.9485,85.9485,85.9485,81.733
031309,84.7775,83.8407,85.9485,82.2014,87.1194,87.1194,86.8852,81.733
031311,83.8407,83.3724,84.0749,82.2014,85.7143,85.7143,85.7143,81.733
031312,84.5433,84.5433,86.1827,82.2014,87.5878,87.5878,87.5878,81.733
051301,83.6066,81.733,83.8407,80.5621,86.6511,86.6511,86.6511,80.5621
051302,84.0749,81.9672,85.2459,80.5621,87.3536,87.3536,87.5878,80.5621
051303,82.6698,82.4356,84.3091,80.5621,86.4169,86.4169,86.4169,80.5621
051306,83.3724,82.904,84.3091,80.5621,87.5878,87.5878,87.5878,80.5621
051307,84.0749,83.1382,85.4801,80.5621,88.5246,88.5246,88.7588,80.5621
051308,82.2014,81.9672,83.8407,80.5621,85.4801,85.4801,85.4801,80.5621
051309,83.6066,81.9672,83.8407,80.5621,86.8852,86.8852,86.8852,80.5621
051311,82.4356,81.9672,83.6066,80.5621,85.7143,85.7143,85.9485,80.5621
051312,83.3724,82.904,84.3091,80.5621,87.5878,87.5878,87.5878,80.5621
061301,86.8852,81.0304,87.3536,81.733,88.7588,88.7588,89.2272,78.4543
061302,86.6511,80.7963,88.0562,81.733,88.2904,88.2904,88.0562,78.4543
061303,84.7775,81.0304,86.6511,81.733,86.6511,86.6511,86.6511,78.4543
061305,85.9485,80.7963,86.4169,81.733,87.5878,87.5878,87.5878,78.4543
061307,87.3536,81.2646,88.5246,81.733,89.4614,89.4614,89.4614,78.4543
061308,85.9485,80.3279,86.1827,81.733,87.1194,87.1194,87.3536,78.4543
061309,85.9485,81.2646,87.5878,81.733,88.0562,88.0562,88.2904,78.4543
061311,85.9485,81.0304,86.8852,81.733,87.822,87.822,88.0562,78.4543
061312,86.8852,80.7963,87.3536,81.733,88.5246,88.5246,88.7588,78.4543
071301,86.4169,85.4801,89.2272,85.7143,87.822,87.822,87.822,82.6698
071302,87.3536,84.7775,89.4614,85.7143,88.0562,88.0562,87.822,82.6698
071303,87.1194,85.2459,88.5246,85.7143,88.2904,88.2904,88.2904,82.6698
071305,87.3536,85.2459,88.2904,85.7143,88.5246,88.5246,88.7588,82.6698
071306,88.0562,85.4801,89.6956,85.7143,89.4614,89.4614,89.4614,82.6698
071308,88.5246,85.2459,89.6956,85.7143,89.6956,89.6956,89.6956,82.6698
071309,87.1194,85.9485,88.993,85.7143,88.993,88.993,88.7588,82.6698
071311,87.1194,84.7775,88.7588,85.7143,87.822,87.822,87.822,82.6698
071312,88.5246,85.9485,90.8665,85.7143,90.3981,90.3981,90.6323,82.6698
081301,85.7143,81.9672,84.5433,80.0937,87.822,87.822,88.0562,80.3279
081302,85.9485,81.2646,84.3091,80.0937,87.3536,87.3536,87.822,80.3279
081303,83.6066,82.2014,82.904,80.0937,85.9485,85.9485,85.9485,80.3279
081305,83.6066,81.733,82.4356,80.0937,85.4801,85.4801,85.4801,80.3279
081306,84.7775,82.2014,84.0749,80.0937,87.1194,87.1194,87.3536,80.3279
081307,86.6511,82.904,85.7143,80.0937,89.6956,89.6956,89.6956,80.3279
081309,85.7143,82.6698,84.5433,80.0937,88.5246,88.5246,88.5246,80.3279
081311,84.3091,81.4988,82.904,80.0937,85.9485,85.9485,85.7143,80.3279
081312,85.4801,82.6698,85.2459,80.0937,88.2904,88.2904,88.7588,80.3279
091301,85.2459,83.6066,85.7143,82.6698,86.8852,86.8852,87.1194,81.733
091302,86.4169,83.8407,86.8852,82.6698,88.2904,88.2904,88.2904,81.733
091303,85.2459,83.8407,85.9485,82.6698,87.1194,87.1194,86.8852,81.733
091305,85.7143,83.1382,86.4169,82.6698,86.8852,86.8852,86.8852,81.733
091306,85.4801,84.5433,87.3536,82.6698,88.0562,88.0562,88.2904,81.733
091307,85.9485,85.0117,87.5878,82.6698,88.993,88.993,88.7588,81.733
091308,86.4169,84.0749,87.1194,82.6698,88.5246,88.5246,88.5246,81.733
091311,85.7143,83.8407,86.1827,82.6698,87.5878,87.5878,87.5878,81.733
091312,87.1194,84.7775,88.2904,82.6698,89.9297,89.9297,89.6956,81.733
111301,85.4801,81.0304,83.1382,81.0304,87.5878,87.5878,87.822,79.3911
111302,85.4801,81.0304,83.6066,81.0304,87.5878,87.5878,87.5878,79.3911
111303,83.6066,81.0304,82.2014,81.0304,85.7143,85.7143,85.7143,79.3911
111305,83.8407,80.7963,82.2014,81.0304,85.7143,85.7143,85.9485,79.3911
111306,84.7775,81.9672,82.904,81.0304,87.822,87.822,88.0562,79.3911
111307,85.2459,81.4988,83.1382,81.0304,87.822,87.822,87.822,79.3911
111308,84.3091,80.5621,82.6698,81.0304,85.9485,85.9485,85.7143,79.3911
111309,85.0117,81.4988,83.3724,81.0304,87.5878,87.5878,87.5878,79.3911
111312,85.0117,81.9672,83.6066,81.0304,88.0562,88.0562,88.2904,79.3911
121301,84.7775,85.4801,87.1194,84.7775,87.3536,87.3536,87.822,83.8407
121302,86.4169,85.4801,88.993,84.7775,88.993,88.993,89.2272,83.8407
121303,83.8407,86.6511,87.822,84.7775,87.5878,87.5878,87.5878,83.8407
121305,84.3091,86.1827,87.1194,84.7775,87.5878,87.5878,87.5878,83.8407
121306,85.2459,86.1827,88.0562,84.7775,88.5246,88.5246,88.7588,83.8407
121307,86.1827,87.1194,89.4614,84.7775,90.3981,90.3981,90.6323,83.8407
121308,85.0117,86.1827,87.822,84.7775,88.2904,88.2904,88.7588,83.8407
121309,85.9485,86.8852,88.993,84.7775,89.9297,89.9297,89.6956,83.8407
121311,84.5433,86.4169,88.0562,84.7775,88.0562,88.0562,88.2904,83.8407
